Timestamp,Fecha,Hora,Archivo/Referencia,Operacion,Endpoint,Modelo,Prompt Tokens,Prompt Tokens Cacheados,Prompt Tokens No Cacheados,Completion Tokens,Embedding Tokens,Total Tokens,Coste Input (USD),Coste Input Cacheado (USD),Coste Output (USD),Coste Embedding (USD),Coste Total (USD),Request ID
,2025-12-22,18:06:42,entrevista_juan.txt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,1403,,,298,,1701,,,,,0.000389,
,2025-12-23,16:47:36,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14511,,,459,,14970,,,,,0.002452,
,2025-12-29,11:48:35,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14589,,,360,,14949,,,,,0.002404,
,2025-12-29,11:52:36,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14589,,,357,,14946,,,,,0.002403,
,2025-12-29,12:03:11,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14589,,,358,,14947,,,,,0.002403,
,2025-12-29,12:05:04,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14592,,,393,,14985,,,,,0.002425,
,2025-12-29,12:09:21,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14588,,,836,,15424,,,,,0.002690,
,2025-12-29,12:15:08,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14679,,,567,,15246,,,,,0.002542,
,2025-12-29,12:24:52,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14933,,,598,,15531,,,,,0.002599,
,2025-12-29,12:40:40,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14933,,,584,,15517,,,,,0.002590,
,2025-12-29,12:46:08,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14948,,,198,,15146,,,,,0.002361,
,2025-12-29,13:01:34,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15092,,,544,,15636,,,,,0.002590,
,2025-12-29,13:32:41,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14828,,,620,,15448,,,,,0.002596,
,2025-12-29,13:44:26,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15417,,,948,,16365,,,,,0.002881,
,2025-12-29,13:52:15,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15131,,,1033,,16164,,,,,0.002889,
,2025-12-29,13:54:54,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15131,,,1018,,16149,,,,,0.002880,
,2025-12-29,14:00:21,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15094,,,821,,15915,,,,,0.002757,
,2025-12-29,14:09:58,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15245,,,465,,15710,,,,,0.002566,
,2025-12-29,14:15:40,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15302,,,732,,16034,,,,,0.002734,
,2025-12-29,15:16:59,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15303,,,753,,16056,,,,,0.002747,
,2025-12-29,15:19:15,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15423,,,836,,16259,,,,,0.002815,
,2025-12-29,15:22:14,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15256,,,398,,15654,,,,,0.002527,
,2025-12-29,15:55:22,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15600,,,787,,16387,,,,,0.002812,
,2025-12-29,17:11:57,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,51252,,,716,,51968,,,,,0.008117,
,2025-12-29,17:25:24,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,51252,,,712,,51964,,,,,0.008115,
,2025-12-29,17:28:27,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,51252,,,816,,52068,,,,,0.008177,
,2025-12-29,17:30:54,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,51252,,,735,,51987,,,,,0.008129,
,2025-12-29,17:44:11,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,51252,,,725,,51977,,,,,0.008123,
,2025-12-29,17:44:28,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,60399,,,737,,61136,,,,,0.009502,
,2025-12-29,17:53:56,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14237,,,718,,14955,,,,,0.002566,
,2025-12-29,17:54:16,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,16401,,,738,,17139,,,,,0.002903,
,2025-12-29,18:11:00,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,13718,,,251,,13969,,,,,0.002208,
,2025-12-29,18:11:07,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15882,,,284,,16166,,,,,0.002553,
,2025-12-29,18:14:57,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,13718,,,251,,13969,,,,,0.002208,
,2025-12-29,18:15:04,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15882,,,284,,16166,,,,,0.002553,
,2025-12-29,18:18:49,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,13575,,,407,,13982,,,,,0.002280,
,2025-12-29,18:18:57,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,15739,,,420,,16159,,,,,0.002613,
,2025-12-29,18:24:42,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14018,,,731,,14749,,,,,0.002541,
,2025-12-29,18:24:57,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,16182,,,723,,16905,,,,,0.002861,
,2025-12-29,18:29:27,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14005,,,738,,14743,,,,,0.002544,
,2025-12-29,18:29:40,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,16175,,,795,,16970,,,,,0.002903,
,2025-12-29,18:45:37,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14005,,,756,,14761,,,,,0.002554,
,2025-12-29,18:45:55,Ivan Canale - Executive MBA-es-ES.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,16169,,,762,,16931,,,,,0.002883,
,2025-12-29,18:47:43,entrevista_Paola_Suarez.vtt,chat_completion_legacy,v1/chat/completions,gpt-4o-mini,14005,,,723,,14728,,,,,0.002535,
